ID,Sky,Temperature,Precipitation,Wind,Animal,Place,CSW,CSS,CSS_and,CSS_or,CSS_both,CSP,CSP_simple,CSP_know,CSP_gen,CSP_pizza,CSP_drizzle,CSP_shower,S1,S2,CSA,T5,Falcon
71,cloudy,-4,0,77,bird,mountains,There is strong wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is snow,There is snow,There is no snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is strong wind 77 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is -4 °C.,There is strong wind 77 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is -4 °C.,Tomorrow in the mountains there is strong wind 77 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is -4 °C.,"
Tomorrow on the mountains, there will be strong wind at 77 km/h. The sky will be cloudy, with no rain or snow. The temperature will be -4 °C."
72,cloudy,6,0,51,fish,mountains,There is strong wind.,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 6 °C. There is strong wind 51 km/h.,The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 6 °C.,Tomorrow in the mountains the sky is cloudy. The temperature is 6 °C. There is strong wind 51 km/h.,"
Tomorrow on the mountains, the weather is cloudy with no rain or snow. The temperature is 6 degrees Celsius, and there is a strong wind blowing at 51 kilometers per hour."
73,cloudy,26,9,50,fish,beach,There is strong wind,There is mist,The sky is cloudy,There is mist,The sky is cloudy,There is rain,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",There is mist. There is rain 9 mm/h. The temperature is 26 °C. There is strong wind 50 km/h.,There is mist. There is rain 9 mm/h. The temperature is 26 °C.,Tomorrow in/on the beach there is mist. There is rain 9 mm/h. The temperature is 26 °C. There is strong wind 50 km/h.,"
Tomorrow on the beach, there will be mist and rain with 9 mm/h. The temperature will be 26 °C, and there will be strong wind at 50 km/h."
74,overcast,24,8,59,fish,mountains,There is strong wind.,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is storm. 8 mm/h. The temperature is 24 °C. There is strong wind. 59 km/h.,The sky is overcast. There is storm. 8 mm/h. The temperature is 24 °C. There is strong wind. 59 km/h.,The sky is overcast. There is storm. 8 mm/h. The temperature is 24 °C. There is strong wind. 59 km/h.,"
Tomorrow on the mountains, the sky will be overcast with stormy weather. There will be 8 mm/h of rain. The temperature will be 24 °C. There will be a strong wind with 59 km/h."
75,overcast,5,0,32,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 32 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,There is no rain and no snow 0 mm/h. The temperature is 5 °C.,Tomorrow in the city there is smog. The temperature is 5 °C. The wind is 32 km/h.,"
Tomorrow in the city, there will be a gentle breeze blowing at 32 km/h. The air quality will be affected by smog, and there will be no rain or snow. The temperature will be around 5 °C."
76,overcast,18,6,11,cat,city,There is no wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 18 °C. There is smog. There is rain 6 mm/h. There is no wind 11 km/h.,The temperature is 18 °C. There is smog. There is rain 6 mm/h. There is no wind 11 km/h.,Tomorrow in the city there is smog. The temperature is 18 °C. There is rain 6 mm/h. There is no wind 11 km/h.,"
Tomorrow in the city, the temperature will be 18 °C. There will be smog. There will be 6 mm/h of rain. There will be a light breeze at 11 km/h."
77,clear,14,6,33,fish,beach,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is rain.,No snow.,There is rain.,There is rain.,There is rain.,"P, S, T, W",The temperature is 14 °C. The sky is clear. There is no rain and no snow 6 mm/h. There is wind 33 km/h.,The temperature is 14 °C. The sky is clear. There is no rain and no snow 6 mm/h.,The temperature will be 14 °C. The sky will be clear. There will be no rain and no snow. The wind will be 33 km/h.,"
The weather forecast for tomorrow on the beach is for a clear day with a temperature of 14 °C and no rain or snow. There will be a gentle breeze blowing at 33 km/h."
78,cloudy,12,14,1,fish,meadows,There is no wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is rain,There is rain.,There is no rain and no snow.,There will be rain and snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is cloudy. There is rain 14 mm/h. The temperature is 12 °C. There is no wind 1 km/h.,The sky is cloudy. There is rain 14 mm/h. The temperature is 12 °C.,Tomorrow in the meadows there will be a cloudy sky. There will be rain with 14 mm/h. The temperature will be 12 °C. There will be no wind with 1 km/h.,"
The weather forecast for tomorrow is cloudy with a chance of rain. The temperature will be around 12 °C, and there will be 14 mm/h of rain. There will be no wind at 1 km/h."
79,clear,3,0,11,bird,beach,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is no wind 11 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 3 °C.,There is no rain and no snow 0 mm/h. The temperature is 3 °C.,Tomorrow in/on the beach there is no wind 11 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 3 °C.,"
Tomorrow on the beach, the weather will be sunny with no wind at 11 km/h. The sky will be clear and there will be no rain or snow. The temperature will be 3 °C."
80,clear,0,0,55,cat,city,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 0 °C. There is strong wind 55 km/h.,There is no rain and no snow 0 mm/h. The temperature is 0 °C.,Tomorrow in the city there is no rain and no snow 0 mm/h. The temperature is 0 °C. There is strong wind 55 km/h.,"
Tomorrow in the city, there will be no rain or snow, with a temperature of 0 °C and a strong wind at 55 km/h."
81,overcast,-10,10,67,bird,beach,There is strong wind,There is mist,There is mist,There is mist,There is mist,There is snow,There is snow,There is snow.,Snow,There is snow.,There is snow.,There is snow.,"W, S, P, T",There is strong wind 67 km/h. There is mist. There is snow 10 mm/h. The temperature is -10 °C.,There is mist. There is snow 10 mm/h. The temperature is -10 °C.,Tomorrow in/on the beach there is strong wind 67 km/h. There is mist. There is snow 10 mm/h. The temperature is -10 °C.,"
Tomorrow on the beach, there will be strong wind at 67 km/h. There will be mist, and snow with 10 mm/h. The temperature will be -10 °C."
82,overcast,-9,7,31,cat,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow.,There is snow,"T, S, P, W",The temperature is -9 °C. There is mist. There is snow 7 mm/h. There is wind 31 km/h.,The temperature is -9 °C. There is mist. There is snow 7 mm/h.,"Tomorrow in/on the beach there is mist, snow 7 mm/h, wind 31 km/h.","
Tomorrow on the beach, the temperature will be -9 °C, there will be mist, and 7 mm/h of snow. The wind will be 31 km/h."
83,cloudy,-2,17,75,cat,city,There is strong wind.,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is snow,There is snow,There is snow,There will be snow.,There is snow,There is snow,There is snow,"T, S, P, W",The temperature is -2 °C. There is smog. There is snow 17 mm/h. There is strong wind 75 km/h.,The temperature is -2 °C. There is smog. There is snow 17 mm/h.,"Tomorrow in the city there is smog, snow 17 mm/h, strong wind 75 km/h.","
Tomorrow in the city, the temperature will be -2 °C. There will be smog. There will be 17 mm/h of snow. There will be a strong wind at 75 km/h."
84,clear,4,17,69,cat,beach,There is strong wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is snow.,No snow,There is snow,There is snow,There is snow,"P, S, T, W","P, S, T, W","P, S, T",Tomorrow it will be sunny with a high of 23 °C and a low of 13 °C.,"'Tomorrow on the beach, it will be partly sunny with a chance of showers. P, S, T, W.'"
85,cloudy,7,6,57,cat,mountains,There is strong wind.,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 7 °C. The sky is cloudy. There is storm. 6 mm/h. There is strong wind 57 km/h.,The temperature is 7 °C. The sky is cloudy. There is storm. 6 mm/h. There is strong wind 57 km/h.,Tomorrow in/on the mountains the temperature is 7 °C. The sky is cloudy. There is storm. 6 mm/h. There is strong wind 57 km/h.,"
Tomorrow, on the mountains, the temperature will be 7 °C. The sky will be cloudy, and there will be a storm. The wind will be 57 km/h."
86,cloudy,17,0,20,fish,city,There is wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
87,overcast,18,4,73,fish,meadows,There is strong wind.,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is rain,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is rain 4 mm/h. The temperature is 18 °C. There is strong wind 73 km/h.,The sky is overcast. There is rain 4 mm/h. The temperature is 18 °C.,The sky is overcast. There is rain 4 mm/h. The temperature is 18 °C. There is strong wind 73 km/h.,"
The weather forecast for tomorrow is that the meadows will be overcast with rain at a rate of 4 mm/h. The temperature will be 18 °C, and there will be a strong wind blowing at 73 km/h."
88,cloudy,17,4,55,cat,meadows,There is strong wind.,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is rain,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 17 °C. The sky is cloudy. There is rain 4 mm/h. There is strong wind 55 km/h.,The temperature is 17 °C. The sky is cloudy. There is rain 4 mm/h.,The temperature will be 17 °C. The sky will be cloudy. There will be rain 4 mm/h. The wind will blow at 55 km/h.,"
The weather forecast for tomorrow is: Expect a pleasant day in the meadows with a temperature of 17 °C. Cloudy skies will dominate the day, with 4 mm/h of rain. A strong wind will blow at 55 km/h, making it feel cooler than the actual temperature."
89,clear,7,0,8,bird,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is no wind 8 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 7 °C.,There is no rain and no snow 0 mm/h. The temperature is 7 °C.,Tomorrow in the city there is no wind 8 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 7 °C.,"
Tomorrow in the city, the weather will be clear with no wind at 8 km/h. There will be no rain or snow, and the temperature will be 7 °C."
90,cloudy,-3,13,58,fish,mountains,There is strong wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is snow,There is snow.,Snow,There is snow,There is snow,There is snow,"S, P, T, W",The sky is cloudy. There is storm. 13 mm/h. The temperature is -3 °C. There is strong wind 58 km/h.,The sky is cloudy. There is storm. 13 mm/h. The temperature is -3 °C.,Tomorrow in the mountains the sky is cloudy. There is storm. 13 mm/h. The temperature is -3 °C. There is strong wind 58 km/h.,"
Tomorrow, on the mountains, the weather will be cloudy with a chance of storm and strong wind at 58 km/h. The temperature will be -3 °C."
91,cloudy,7,18,72,fish,mountains,There is strong wind.,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is rain.,There is snow.,There will be snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is cloudy. There is storm. 18 mm/h. The temperature is 7 °C. There is strong wind 72 km/h.,The sky is cloudy. There is storm. 18 mm/h. The temperature is 7 °C.,Tomorrow in the mountains the sky is cloudy. There is storm. 18 mm/h. The temperature is 7 °C. There is strong wind 72 km/h.,"
Tomorrow, on the mountains, the weather will be cloudy with a chance of storm and 18 mm/h of precipitation. The temperature will be 7 °C, and there will be a strong wind blowing at 72 km/h."
92,overcast,10,2,16,fish,mountains,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is storm. 2 mm/h. The temperature is 10 °C.,The sky is overcast. There is storm. 2 mm/h. The temperature is 10 °C.,The sky is overcast. There is storm. 2 mm/h. The temperature is 10 °C.,"
The weather forecast for tomorrow is that it will be stormy on the mountains. The sky will be overcast, and there will be 2 mm/h of precipitation. The temperature will be around 10 °C."
93,cloudy,4,0,14,cat,meadows,There is no wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 4 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 14 km/h.,The temperature is 4 °C. The sky is cloudy. There is no rain and no snow 0 mm/h. There is no wind 14 km/h.,The temperature will be 4 °C. The sky will be cloudy. There will be no rain and no snow. The wind will be 14 km/h.,"
The weather forecast for tomorrow is: Expect a pleasant day in the meadows with a temperature of 4 °C. The sky will be mostly cloudy, and there will be no rain or snow. The wind will be coming from the west at 14 km/h."
94,cloudy,20,0,23,bird,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no snow.,There is no rain and no snow.,There is no rain and no snow,There is no rain and no snow.,"W, S, P, T",There is wind 23 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 20 °C.,There is no rain and no snow 0 mm/h. The temperature is 20 °C.,Tomorrow in the mountains there is wind 23 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 20 °C.,"
Tomorrow on the mountains, the weather will be windy with a speed of 23 km/h. The sky will be cloudy, and there will be no rain or snow. The temperature will be 20 °C."
95,cloudy,9,2,75,cat,city,There is strong wind.,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There is rain and snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 9 °C. There is smog. There is rain 2 mm/h. There is strong wind 75 km/h.,The temperature is 9 °C. There is smog. There is rain 2 mm/h.,Tomorrow in the city there is smog. The temperature is 9 °C. There is rain 2 mm/h. There is strong wind 75 km/h.,"
Tomorrow in the city, the temperature will be 9 °C. There will be smog. There will be 2 mm/h of rain. There will be a strong wind of 75 km/h."
96,clear,7,0,2,bird,meadows,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is no wind 2 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 7 °C.,There is no rain and no snow 0 mm/h. The temperature is 7 °C.,Tomorrow in the meadows there is no wind 2 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 7 °C.,"
The weather forecast for tomorrow is: Expect sunny skies and a comfortable temperature of 7 °C. There will be no wind at 2 km/h, and the sky will remain clear."
97,cloudy,25,12,3,fish,beach,There is no wind,There is mist,The sky is cloudy,There is mist,The sky is cloudy,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",There is mist. There is rain 12 mm/h. The temperature is 25 °C. There is no wind 3 km/h.,There is mist. There is rain 12 mm/h. The temperature is 25 °C.,Tomorrow in/on the beach there is mist. There is rain 12 mm/h. The temperature is 25 °C. There is no wind 3 km/h.,"
Tomorrow on the beach, there will be mist and rain with 12 mm/h. The temperature will be 25 °C, and there will be no wind at 3 km/h."
98,clear,-7,0,73,bird,meadows,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is snow,No snow,There is snow,There is snow,There is snow,"W, S, P, T",There is strong wind 73 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is -7 °C.,There is strong wind 73 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is -7 °C.,Tomorrow in the meadows there is strong wind 73 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is -7 °C.,"
Tomorrow on the meadows, there will be strong wind at 73 km/h. The sky will be clear, with no rain or snow. The temperature will be -7°C."
99,cloudy,9,11,51,cat,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is no rain and no snow.,There will be rain and snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 9 °C. There is mist. There is rain 11 mm/h. There is strong wind 51 km/h.,The temperature is 9 °C. There is mist. There is rain 11 mm/h. There is strong wind 51 km/h.,Tomorrow in/on the beach there is mist. There is rain 11 mm/h. There is strong wind 51 km/h.,"
The weather forecast for tomorrow on the beach is for partly cloudy skies with a temperature of 9 °C. There will be a chance of rain with 11 mm/h, a strong wind at 51 km/h, and some mist."
100,cloudy,19,16,60,fish,beach,There is strong wind,There is mist,The sky is cloudy,There is mist,The sky is cloudy,There is rain,There is rain.,There is no rain and no snow.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",There is mist. There is rain 16 mm/h. The temperature is 19 °C. There is strong wind 60 km/h.,There is mist. There is rain 16 mm/h. The temperature is 19 °C.,Tomorrow in/on the beach there is mist. There is rain 16 mm/h. The temperature is 19 °C. There is strong wind 60 km/h.,"
Tomorrow on the beach, there will be mist and rain with 16 mm/h. The temperature will be 19 °C, and there will be strong wind at 60 km/h."
101,overcast,11,18,53,cat,city,There is strong wind.,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 11 °C. There is smog. There is rain 18 mm/h. There is strong wind 53 km/h.,The temperature is 11 °C. There is smog. There is rain 18 mm/h. There is strong wind 53 km/h.,Tomorrow in the city there is smog. The temperature is 11 °C. There is rain 18 mm/h. There is strong wind 53 km/h.,"
Tomorrow in the city, the temperature will be 11 °C. There will be smog. There will be 18 mm/h of rain. There will be a strong wind at 53 km/h."
102,overcast,26,4,72,cat,mountains,There is strong wind.,The sky is overcast,There is mist,The sky is overcast,There is mist,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 26 °C. The sky is overcast. There is storm. 4 mm/h. There is strong wind 72 km/h.,The temperature is 26 °C. The sky is overcast. There is storm. 4 mm/h. There is strong wind 72 km/h.,The temperature will be 26 °C. The sky will be overcast. There will be storm. The precipitation will be 4 mm/h. The wind speed will be 72 km/h.,"
Tomorrow, on the mountains, the temperature will be 26 °C. The sky will be overcast, and there will be a storm. The wind will be 72 km/h."
103,overcast,8,0,63,fish,meadows,There is strong wind.,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 8 °C. There is strong wind 63 km/h.,The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 8 °C.,The sky is overcast. The temperature is 8 °C. The wind is strong 63 km/h.,"
Tomorrow on the meadows, the sky will be overcast, with no rain or snow, and the temperature will be 8 °C. There will be a strong wind blowing at 63 km/h."
104,overcast,3,1,48,cat,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is no rain and no snow.,There is snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 3 °C. There is mist. There is rain 1 mm/h. There is wind 48 km/h.,The temperature is 3 °C. There is mist. There is rain 1 mm/h.,Tomorrow in/on the beach the temperature is 3 °C. There is mist. There is rain 1 mm/h. There is wind 48 km/h.,"
The weather forecast for tomorrow on the beach is: Expect a cool 3 °C temperature with a chance of light rain (1 mm/h) and a gentle breeze (48 km/h)."
105,overcast,2,6,26,fish,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is snow.,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"S, P, T, W",The sky is overcast. There is storm. 6 mm/h. The temperature is 2 °C. There is wind 26 km/h.,The sky is overcast. There is storm. 6 mm/h. The temperature is 2 °C.,The sky is overcast. There is storm. 6 mm/h. The temperature is 2 °C. The wind is 26 km/h.,"
Tomorrow, on the mountains, the weather will be overcast with stormy conditions and 6 mm/h of precipitation. The temperature will be 2 °C, and there will be a strong 26 km/h wind."
106,cloudy,12,3,27,cat,city,There is wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 12 °C. There is smog. There is rain 3 mm/h. There is wind 27 km/h.,The temperature is 12 °C. There is smog. There is rain 3 mm/h.,Tomorrow in the city there is smog. The temperature is 12 °C. There is rain 3 mm/h. There is wind 27 km/h.,"
Tomorrow in the city, the temperature will be 12 °C. There will be smog. There will be 3 mm/h of rain. There will be a gentle breeze blowing at 27 km/h."
107,clear,-7,16,47,bird,beach,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is snow,There is snow,No snow,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 47 km/h. The sky is clear. There is no rain and no snow 16 mm/h. The temperature is -7 °C.,There is no rain and no snow 16 mm/h. The temperature is -7 °C.,Tomorrow in/on the beach there is wind 47 km/h. The sky is clear. There is no rain and no snow 16 mm/h. The temperature is -7 °C.,"
Tomorrow on the beach, the weather will be sunny with a gentle breeze blowing at 47 km/h. The sky will be clear, providing a beautiful view of the coastline. There will be no rain or snow, and the temperature will be -7 °C."
108,overcast,3,0,3,bird,mountains,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is no wind 3 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 3 °C.,There is no rain and no snow 0 mm/h. The temperature is 3 °C.,Tomorrow in the mountains there is no wind 3 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 3 °C.,"
Tomorrow on the mountains, there will be no wind at 3 km/h. The sky will be overcast, and there will be no rain or snow. The temperature will be 3 °C."
109,clear,17,0,7,cat,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 17 °C. The sky is clear.,There is no rain and no snow 0 mm/h. The temperature is 17 °C. The sky is clear.,The temperature will be 17 °C tomorrow.,"'Tomorrow in the city, there will be no rain or snow, and the temperature will be 17 °C. The sky will be clear.'"
110,clear,7,12,61,cat,city,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 12 mm/h. The temperature is 7 °C. There is strong wind 61 km/h.,There is no rain and no snow 12 mm/h. The temperature is 7 °C.,Tomorrow in the city there is no rain and no snow 12 mm/h. The temperature is 7 °C. There is strong wind 61 km/h.,"
Tomorrow in the city, there will be no rain or snow, and the temperature will be 7 °C. There will be a strong wind at 61 km/h."
111,overcast,1,10,38,bird,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 38 km/h. There is mist. There is rain 10 mm/h. The temperature is 1 °C.,There is mist. There is rain 10 mm/h. The temperature is 1 °C.,Tomorrow in/on the beach there is wind 38 km/h. There is mist. There is rain 10 mm/h. The temperature is 1 °C.,"
The weather forecast for tomorrow on the beach is: Expect sunny skies with a gentle breeze of 38 km/h. There will be a chance of mist in the morning, with 10 mm/h of rain. The temperature will be around 1 °C."
112,clear,26,16,49,fish,city,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 16 mm/h. The temperature is 26 °C. The sky is clear. There is wind 49 km/h.,There is no rain and no snow 16 mm/h. The temperature is 26 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 16 mm/h. The temperature is 26 °C. The sky is clear. There is wind 49 km/h.,"
The weather forecast for tomorrow in the city is:
- Mostly clear skies
- Comfortable temperature of 26 °C
- Gentle breeze with a speed of 49 km/h
- No rain or snow expected"
113,cloudy,29,0,43,bird,mountains,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 43 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 29 °C.,There is no rain and no snow 0 mm/h. The temperature is 29 °C.,Tomorrow in the mountains there is wind 43 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 29 °C.,"
Tomorrow on the mountains, the weather will be windy with a speed of 43 km/h. The sky will be cloudy, and there will be no rain or snow. The temperature will be 29 °C."
114,cloudy,-2,7,68,bird,meadows,There is strong wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is strong wind 68 km/h. The sky is cloudy. There is snow 7 mm/h. The temperature is -2 °C.,There is strong wind 68 km/h. The sky is cloudy. There is snow 7 mm/h. The temperature is -2 °C.,Tomorrow in the meadows there is strong wind 68 km/h. The sky is cloudy. There is snow 7 mm/h. The temperature is -2 °C.,"
Tomorrow, on the meadows, there will be strong wind at 68 km/h. The sky will be cloudy, and there will be snow at a rate of 7 mm/h. The temperature will be -2 °C."
115,cloudy,17,0,64,fish,meadows,There is strong wind.,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 17 °C. There is strong wind 64 km/h.,The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 17 °C. There is strong wind 64 km/h.,The sky is cloudy. The temperature is 17 °C. There is strong wind 64 km/h.,"
The weather forecast for tomorrow is that the meadows will be sunny with no rain or snow. The temperature will be 17°C, and there will be a strong wind blowing at 64km/h."
